gen,nama_makanan,jumlah_kalori
000000,Apple,95
000001,Apricot,17
000010,Avocado,320
000011,Banana,111
000100,Cantaloupe,23
000101,Clementine,35
000110,Guava,37
000111,Jackfruit,143
001000,Jujube,22
001001,Lemon,17
001010,Lime,20
001011,Mango,202
001100,Nectarine,66
001101,Orange,62
001110,Papaya,215
001111,Peach,59
010000,Pear,101
010001,Persimmon,32
010010,Pineapple,453
010011,Plum,30
010100,Pomegranate,234
010101,Quince,52
010110,Tamarind,5
010111,Tangerine,47
011000,Watermelon,86
011001,Acerola,1
011010,Avocado,320
011011,Banana,111
011100,Breadfruit,99
011101,Durian,885
011110,Feijoa,23
011111,Grapefruit,52
100000,Guava,37
100001,Honeydew,45
100010,Jackfruit,143
100011,Kumquat,13
100100,Lychee,7
100101,Mango,202
100110,Mangosteen,58
100111,Pineapple,453
101000,Plantain,218
101001,Pomegranate,234
101010,Pomelo,231
101011,Tamarind,5
101100,Watermelon,86
